atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,SG1,Cluster02,Medoid,df_LatDephtDistance,407508.18173613
AtLeastIn1,SG1,Cluster02,Medoid,df_AbioticsDistance,2062574.15336756
AtLeastIn1,SG1,Cluster03,Ward,df_LatDephtDistance,268488.734636129
AtLeastIn1,SG1,Cluster03,Ward,df_AbioticsDistance,1449960.49005826
AtLeastIn1,SG1,Cluster03,Medoid,df_LatDephtDistance,236726.400892319
AtLeastIn1,SG1,Cluster03,Medoid,df_AbioticsDistance,1358156.49151373
AtLeastIn1,SG1,Cluster04,Ward,df_LatDephtDistance,192363.676951393
AtLeastIn1,SG1,Cluster04,Ward,df_AbioticsDistance,809686.3694255
AtLeastIn1,SG1,Cluster04,Medoid,df_LatDephtDistance,173471.464089553
AtLeastIn1,SG1,Cluster04,Medoid,df_AbioticsDistance,802592.15965816
AtLeastIn1,SG1,Cluster05,Ward,df_LatDephtDistance,158390.792974655
AtLeastIn1,SG1,Cluster05,Ward,df_AbioticsDistance,768881.158258327
AtLeastIn1,SG1,Cluster05,Medoid,df_LatDephtDistance,140083.09547588
AtLeastIn1,SG1,Cluster05,Medoid,df_AbioticsDistance,641163.160631954
AtLeastIn1,SG1,Cluster06,Ward,df_LatDephtDistance,125121.018262285
AtLeastIn1,SG1,Cluster06,Ward,df_AbioticsDistance,738219.578715866
AtLeastIn1,SG1,Cluster06,Medoid,df_LatDephtDistance,127183.24053734
AtLeastIn1,SG1,Cluster06,Medoid,df_AbioticsDistance,509394.253547361
AtLeastIn1,SG1,Cluster07,Ward,df_LatDephtDistance,95339.6266387662
AtLeastIn1,SG1,Cluster07,Ward,df_AbioticsDistance,523138.388845766
AtLeastIn1,SG1,Cluster07,Medoid,df_LatDephtDistance,105287.834043815
AtLeastIn1,SG1,Cluster07,Medoid,df_AbioticsDistance,475101.807775723
AtLeastIn1,SG1,Cluster08,Ward,df_LatDephtDistance,83531.9838015947
AtLeastIn1,SG1,Cluster08,Ward,df_AbioticsDistance,418844.665822568
AtLeastIn1,SG1,Cluster08,Medoid,df_LatDephtDistance,94899.3374822724
AtLeastIn1,SG1,Cluster08,Medoid,df_AbioticsDistance,403789.53252164
AtLeastIn1,SG1,Cluster09,Ward,df_LatDephtDistance,75300.3777957106
AtLeastIn1,SG1,Cluster09,Ward,df_AbioticsDistance,352762.117416239
AtLeastIn1,SG1,Cluster09,Medoid,df_LatDephtDistance,82271.8004399122
AtLeastIn1,SG1,Cluster09,Medoid,df_AbioticsDistance,345621.920086891
AtLeastIn1,SG1,Cluster10,Ward,df_LatDephtDistance,65990.1947015283
AtLeastIn1,SG1,Cluster10,Ward,df_AbioticsDistance,344974.687150488
AtLeastIn1,SG1,Cluster10,Medoid,df_LatDephtDistance,66669.5496700773
AtLeastIn1,SG1,Cluster10,Medoid,df_AbioticsDistance,327409.717950764
AtLeastIn1,SG1,Cluster11,Ward,df_LatDephtDistance,56175.4041396204
AtLeastIn1,SG1,Cluster11,Ward,df_AbioticsDistance,339298.75906523
AtLeastIn1,SG1,Cluster11,Medoid,df_LatDephtDistance,58054.0415653609
AtLeastIn1,SG1,Cluster11,Medoid,df_AbioticsDistance,262019.544740963
AtLeastIn1,SG1,Cluster12,Ward,df_LatDephtDistance,52220.9746100531
AtLeastIn1,SG1,Cluster12,Ward,df_AbioticsDistance,295624.613301639
AtLeastIn1,SG1,Cluster12,Medoid,df_LatDephtDistance,49477.5254492925
AtLeastIn1,SG1,Cluster12,Medoid,df_AbioticsDistance,251626.417935736
AtLeastIn1,SG1,Cluster13,Ward,df_LatDephtDistance,47232.9517569258
AtLeastIn1,SG1,Cluster13,Ward,df_AbioticsDistance,276297.102978119
AtLeastIn1,SG1,Cluster13,Medoid,df_LatDephtDistance,44825.7579516615
AtLeastIn1,SG1,Cluster13,Medoid,df_AbioticsDistance,247571.82998927
AtLeastIn1,SG1,Cluster14,Ward,df_LatDephtDistance,41258.0137919487
AtLeastIn1,SG1,Cluster14,Ward,df_AbioticsDistance,245916.658261896
AtLeastIn1,SG1,Cluster14,Medoid,df_LatDephtDistance,40478.7413860196
AtLeastIn1,SG1,Cluster14,Medoid,df_AbioticsDistance,245832.287072262
AtLeastIn1,SG1,Cluster15,Ward,df_LatDephtDistance,37120.6672176323
AtLeastIn1,SG1,Cluster15,Ward,df_AbioticsDistance,218310.683337165
AtLeastIn1,SG1,Cluster15,Medoid,df_LatDephtDistance,38298.03738177
AtLeastIn1,SG1,Cluster15,Medoid,df_AbioticsDistance,223530.317614489
AtLeastIn1,SG1,Cluster16,Ward,df_LatDephtDistance,36376.5319984458
AtLeastIn1,SG1,Cluster16,Ward,df_AbioticsDistance,217249.750681732
AtLeastIn1,SG1,Cluster16,Medoid,df_LatDephtDistance,34888.5957849193
AtLeastIn1,SG1,Cluster16,Medoid,df_AbioticsDistance,201539.969622512
AtLeastIn1,SG1,Cluster17,Ward,df_LatDephtDistance,33981.496595107
AtLeastIn1,SG1,Cluster17,Ward,df_AbioticsDistance,194831.501785984
AtLeastIn1,SG1,Cluster17,Medoid,df_LatDephtDistance,32914.2252791969
AtLeastIn1,SG1,Cluster17,Medoid,df_AbioticsDistance,170974.939303243
AtLeastIn1,SG1,Cluster18,Ward,df_LatDephtDistance,32596.4338183916
AtLeastIn1,SG1,Cluster18,Ward,df_AbioticsDistance,165772.976131108
AtLeastIn1,SG1,Cluster18,Medoid,df_LatDephtDistance,30951.923443888
AtLeastIn1,SG1,Cluster18,Medoid,df_AbioticsDistance,163529.940000116
AtLeastIn1,SG1,Cluster19,Ward,df_LatDephtDistance,30881.9740290855
AtLeastIn1,SG1,Cluster19,Ward,df_AbioticsDistance,164328.662162392
AtLeastIn1,SG1,Cluster19,Medoid,df_LatDephtDistance,31626.8362671345
AtLeastIn1,SG1,Cluster19,Medoid,df_AbioticsDistance,159204.056918239
AtLeastIn1,SG1,Cluster20,Ward,df_LatDephtDistance,29384.6842661767
AtLeastIn1,SG1,Cluster20,Ward,df_AbioticsDistance,161331.773946689
AtLeastIn1,SG1,Cluster20,Medoid,df_LatDephtDistance,29924.859690871
AtLeastIn1,SG1,Cluster20,Medoid,df_AbioticsDistance,145047.275580701
AtLeastIn1,SG1,Cluster21,Ward,df_LatDephtDistance,28082.9694685526
AtLeastIn1,SG1,Cluster21,Ward,df_AbioticsDistance,149599.45903157
AtLeastIn1,SG1,Cluster21,Medoid,df_LatDephtDistance,28392.7875997024
AtLeastIn1,SG1,Cluster21,Medoid,df_AbioticsDistance,137358.625656856
AtLeastIn1,SG1,Cluster22,Ward,df_LatDephtDistance,26499.8853468525
AtLeastIn1,SG1,Cluster22,Ward,df_AbioticsDistance,146173.642798577
AtLeastIn1,SG1,Cluster22,Medoid,df_LatDephtDistance,26143.6653542504
AtLeastIn1,SG1,Cluster22,Medoid,df_AbioticsDistance,136242.241002325
AtLeastIn1,SG1,Cluster23,Ward,df_LatDephtDistance,26173.8528962389
AtLeastIn1,SG1,Cluster23,Ward,df_AbioticsDistance,145861.06061849
AtLeastIn1,SG1,Cluster23,Medoid,df_LatDephtDistance,24510.798211431
AtLeastIn1,SG1,Cluster23,Medoid,df_AbioticsDistance,114733.031490442
AtLeastIn1,SG1,Cluster24,Ward,df_LatDephtDistance,25156.2458292094
AtLeastIn1,SG1,Cluster24,Ward,df_AbioticsDistance,127775.403040608
AtLeastIn1,SG1,Cluster24,Medoid,df_LatDephtDistance,22476.3879184388
AtLeastIn1,SG1,Cluster24,Medoid,df_AbioticsDistance,113843.657024498
AtLeastIn1,SG1,Cluster25,Ward,df_LatDephtDistance,24514.416002714
AtLeastIn1,SG1,Cluster25,Ward,df_AbioticsDistance,122806.826891583
AtLeastIn1,SG1,Cluster25,Medoid,df_LatDephtDistance,21314.2884293653
AtLeastIn1,SG1,Cluster25,Medoid,df_AbioticsDistance,110396.56263196
AtLeastIn1,SG1,Cluster26,Ward,df_LatDephtDistance,24401.3748365674
AtLeastIn1,SG1,Cluster26,Ward,df_AbioticsDistance,122727.255970525
AtLeastIn1,SG1,Cluster26,Medoid,df_LatDephtDistance,20773.0839202067
AtLeastIn1,SG1,Cluster26,Medoid,df_AbioticsDistance,113988.860368511
AtLeastIn1,SG1,Cluster27,Ward,df_LatDephtDistance,23466.9301353188
AtLeastIn1,SG1,Cluster27,Ward,df_AbioticsDistance,107885.217174186
AtLeastIn1,SG1,Cluster27,Medoid,df_LatDephtDistance,19980.3188988404
AtLeastIn1,SG1,Cluster27,Medoid,df_AbioticsDistance,102174.530594657
AtLeastIn1,SG1,Cluster28,Ward,df_LatDephtDistance,21152.2888169373
AtLeastIn1,SG1,Cluster28,Ward,df_AbioticsDistance,106794.754524154
AtLeastIn1,SG1,Cluster28,Medoid,df_LatDephtDistance,18847.9082787806
AtLeastIn1,SG1,Cluster28,Medoid,df_AbioticsDistance,90804.7781699421
AtLeastIn1,SG1,Cluster29,Ward,df_LatDephtDistance,20458.6567504935
AtLeastIn1,SG1,Cluster29,Ward,df_AbioticsDistance,105185.214634913
AtLeastIn1,SG1,Cluster29,Medoid,df_LatDephtDistance,18681.7137864167
AtLeastIn1,SG1,Cluster29,Medoid,df_AbioticsDistance,90327.9035790031
AtLeastIn1,SG1,Cluster30,Ward,df_LatDephtDistance,20198.6765068755
AtLeastIn1,SG1,Cluster30,Ward,df_AbioticsDistance,97507.6635520807
AtLeastIn1,SG1,Cluster30,Medoid,df_LatDephtDistance,17889.1788639333
AtLeastIn1,SG1,Cluster30,Medoid,df_AbioticsDistance,89329.1291431534
AtLeastIn1,SG1,Cluster31,Ward,df_LatDephtDistance,18715.7607264841
AtLeastIn1,SG1,Cluster31,Ward,df_AbioticsDistance,94739.8152454446
AtLeastIn1,SG1,Cluster31,Medoid,df_LatDephtDistance,18073.9018458235
AtLeastIn1,SG1,Cluster31,Medoid,df_AbioticsDistance,96732.3897998069
AtLeastIn1,SG1,Cluster32,Ward,df_LatDephtDistance,17974.9240364678
AtLeastIn1,SG1,Cluster32,Ward,df_AbioticsDistance,93701.7065204017
AtLeastIn1,SG1,Cluster32,Medoid,df_LatDephtDistance,16646.3687349187
AtLeastIn1,SG1,Cluster32,Medoid,df_AbioticsDistance,84879.9970509406
AtLeastIn1,SG1,Cluster33,Ward,df_LatDephtDistance,17405.4335844119
AtLeastIn1,SG1,Cluster33,Ward,df_AbioticsDistance,91784.5735480438
AtLeastIn1,SG1,Cluster33,Medoid,df_LatDephtDistance,16450.1797679872
AtLeastIn1,SG1,Cluster33,Medoid,df_AbioticsDistance,86250.203083488
AtLeastIn1,SG1,Cluster34,Ward,df_LatDephtDistance,16739.0237238036
AtLeastIn1,SG1,Cluster34,Ward,df_AbioticsDistance,88290.5569709513
