atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,SG1,Cluster01,Medoid,df_LatDephtDistance,4850881.03217741
AtLeastIn1,SG1,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162
AtLeastIn1,SG1,Cluster02,Ward,df_LatDephtDistance,2284784.4150737
AtLeastIn1,SG1,Cluster02,Ward,df_AbioticsDistance,2177288.44261809
AtLeastIn1,SG1,Cluster02,Medoid,df_LatDephtDistance,2168956.20062975
AtLeastIn1,SG1,Cluster02,Medoid,df_AbioticsDistance,2062574.15336756
AtLeastIn1,SG1,Cluster03,Ward,df_LatDephtDistance,1523332.89503162
AtLeastIn1,SG1,Cluster03,Ward,df_AbioticsDistance,1449960.49005826
AtLeastIn1,SG1,Cluster03,Medoid,df_LatDephtDistance,1416672.32814268
AtLeastIn1,SG1,Cluster03,Medoid,df_AbioticsDistance,1358156.49151373
AtLeastIn1,SG1,Cluster04,Ward,df_LatDephtDistance,872744.470898359
AtLeastIn1,SG1,Cluster04,Ward,df_AbioticsDistance,809686.3694255
AtLeastIn1,SG1,Cluster04,Medoid,df_LatDephtDistance,853661.024049274
AtLeastIn1,SG1,Cluster04,Medoid,df_AbioticsDistance,802592.15965816
AtLeastIn1,SG1,Cluster05,Ward,df_LatDephtDistance,817317.005178639
AtLeastIn1,SG1,Cluster05,Ward,df_AbioticsDistance,768881.158258327
AtLeastIn1,SG1,Cluster05,Medoid,df_LatDephtDistance,684632.127790254
AtLeastIn1,SG1,Cluster05,Medoid,df_AbioticsDistance,641163.160631954
AtLeastIn1,SG1,Cluster06,Ward,df_LatDephtDistance,769392.67906181
AtLeastIn1,SG1,Cluster06,Ward,df_AbioticsDistance,738219.578715866
AtLeastIn1,SG1,Cluster06,Medoid,df_LatDephtDistance,553801.9917952
AtLeastIn1,SG1,Cluster06,Medoid,df_AbioticsDistance,509394.253547361
AtLeastIn1,SG1,Cluster07,Ward,df_LatDephtDistance,550023.586511912
AtLeastIn1,SG1,Cluster07,Ward,df_AbioticsDistance,523138.388845766
AtLeastIn1,SG1,Cluster07,Medoid,df_LatDephtDistance,510056.314924784
AtLeastIn1,SG1,Cluster07,Medoid,df_AbioticsDistance,475101.807775723
AtLeastIn1,SG1,Cluster08,Ward,df_LatDephtDistance,444137.193789614
AtLeastIn1,SG1,Cluster08,Ward,df_AbioticsDistance,418844.665822568
AtLeastIn1,SG1,Cluster08,Medoid,df_LatDephtDistance,434627.828556059
AtLeastIn1,SG1,Cluster08,Medoid,df_AbioticsDistance,403789.53252164
AtLeastIn1,SG1,Cluster09,Ward,df_LatDephtDistance,376642.692602144
AtLeastIn1,SG1,Cluster09,Ward,df_AbioticsDistance,352762.117416239
AtLeastIn1,SG1,Cluster09,Medoid,df_LatDephtDistance,374005.797484
AtLeastIn1,SG1,Cluster09,Medoid,df_AbioticsDistance,345621.920086891
AtLeastIn1,SG1,Cluster10,Ward,df_LatDephtDistance,364130.807776715
AtLeastIn1,SG1,Cluster10,Ward,df_AbioticsDistance,344974.687150488
AtLeastIn1,SG1,Cluster10,Medoid,df_LatDephtDistance,348114.927107254
AtLeastIn1,SG1,Cluster10,Medoid,df_AbioticsDistance,327409.717950764
AtLeastIn1,SG1,Cluster11,Ward,df_LatDephtDistance,352374.035830187
AtLeastIn1,SG1,Cluster11,Ward,df_AbioticsDistance,339298.75906523
AtLeastIn1,SG1,Cluster11,Medoid,df_LatDephtDistance,281622.819129229
AtLeastIn1,SG1,Cluster11,Medoid,df_AbioticsDistance,262019.544740963
AtLeastIn1,SG1,Cluster12,Ward,df_LatDephtDistance,308354.604452451
AtLeastIn1,SG1,Cluster12,Ward,df_AbioticsDistance,295624.613301639
AtLeastIn1,SG1,Cluster12,Medoid,df_LatDephtDistance,266598.502473488
AtLeastIn1,SG1,Cluster12,Medoid,df_AbioticsDistance,251626.417935736
AtLeastIn1,SG1,Cluster13,Ward,df_LatDephtDistance,288207.91320356
AtLeastIn1,SG1,Cluster13,Ward,df_AbioticsDistance,276297.102978119
AtLeastIn1,SG1,Cluster13,Medoid,df_LatDephtDistance,260055.491428095
AtLeastIn1,SG1,Cluster13,Medoid,df_AbioticsDistance,247571.82998927
AtLeastIn1,SG1,Cluster14,Ward,df_LatDephtDistance,256721.18794937
AtLeastIn1,SG1,Cluster14,Ward,df_AbioticsDistance,245916.658261896
AtLeastIn1,SG1,Cluster14,Medoid,df_LatDephtDistance,256425.261497895
AtLeastIn1,SG1,Cluster14,Medoid,df_AbioticsDistance,245832.287072262
AtLeastIn1,SG1,Cluster15,Ward,df_LatDephtDistance,228405.459925341
